StateAbbr,DN_1972,DE_1972,RN_1972,RE_1972,DN_1976,DE_1976,RN_1976,RE_1976,DN_1980,DE_1980,RN_1980,RE_1980,DN_1984,DE_1984,RN_1984,RE_1984,DN_1988,DE_1988,RN_1988,RE_1988,DN_1992,DE_1992,RN_1992,RE_1992,DN_1996,DE_1996,RN_1996,RE_1996,DN_2000,DE_2000,RN_2000,RE_2000,DN_2004,DE_2004,RN_2004,RE_2004,DN_2008,DE_2008,RN_2008,RE_2008,DN_2012,DE_2012,RN_2012,RE_2012,DN_2016,DE_2016,RN_2016,RE_2016,DN_2020,DE_2020,RN_2020,RE_2020
AL,256923,0,728701,9,659170,9,504070,0,636730,0,654192,9,551899,0,872849,9,549506,0,815576,9,690080,0,804283,9,662165,0,769044,9,692611,0,941173,9,693933,0,1176394,9,813479,0,1266546,9,795696,0,1255925,9,729547,0,1318255,9,849624,0,1441170,9
AK,32967,0,55349,3,44058,0,71555,3,41842,0,86112,3,62007,0,138377,3,72584,0,119251,3,78294,0,102000,3,80380,0,122746,3,79004,0,167398,3,111025,0,190889,3,123594,0,193841,3,122640,0,164676,3,116454,0,163387,3,153778,0,189951,3
AZ,198540,0,402812,6,295602,0,418642,6,246843,0,529688,6,333854,0,681416,7,454029,0,702541,7,543050,0,572086,8,653288,8,622073,0,685341,0,781652,8,893524,0,1104294,10,1034707,0,1230111,10,1025232,0,1233654,11,1161167,0,1252401,11,1672143,11,1661686,0
AR,198899,0,445751,6,499614,6,268753,0,398041,0,403164,6,338646,0,534774,6,349237,0,466578,6,505823,6,337324,0,475171,6,325416,0,422768,0,472940,6,469953,0,572898,6,422310,0,638017,6,394409,0,647744,6,380494,0,684872,6,423932,0,760647,6
CA,3475847,0,4602096,45,3742284,0,3882244,45,3083661,0,4524858,45,3922519,0,5467009,47,4702233,0,5054917,47,5121325,54,3630574,0,5119835,54,3828380,0,5861203,54,4567429,0,6745485,55,5509826,0,8274473,55,5011781,0,7854285,55,4839958,0,8753788,55,4483810,0,11110250,55,6006429,0
CO,329980,0,597189,7,460353,0,584367,7,367973,0,652264,7,454974,0,821818,8,621453,0,728177,8,629681,8,562850,0,671152,0,691848,8,738227,0,883748,8,1001732,0,1101255,9,1288633,9,1073629,0,1323101,9,1185243,0,1338870,9,1202484,0,1804352,9,1364607,0
CT,555498,0,810763,8,647895,0,719261,8,541732,0,677210,8,569597,0,890877,8,676584,0,750241,8,682318,8,578313,0,735740,8,483109,0,816015,8,561094,0,857488,7,693826,0,997772,7,629428,0,905083,7,634892,0,897572,7,673215,0,1080831,7,714717,0
DE,92283,0,140357,3,122596,3,109831,0,105754,0,111252,3,101656,0,152190,3,108647,0,139639,3,126054,3,102313,0,140355,3,99062,0,180068,3,137288,0,200152,3,171660,0,255459,3,152374,0,242584,3,165484,0,235603,3,185127,0,296268,3,200603,0
DC,127627,3,35226,,137818,3,27873,0,130231,3,23313,0,180408,3,29009,0,159407,3,27590,0,192619,3,20698,0,158220,3,17339,0,171923,3,18073,0,202970,3,21256,0,245800,3,17367,0,267070,3,21381,0,282830,3,12723,0,317323,3,18586,0
FL,718117,0,1857759,17,1636000,17,1469531,0,1419475,0,2046951,17,1448816,0,2730350,21,1656701,0,2618885,21,2072698,0,2173310,25,2546870,25,2244536,0,2912253,0,2912790,25,3583544,0,3964522,27,4282074,27,4045624,0,4237756,29,4163447,0,4504975,0,4617886,29,5297045,0,5668731,29
GA,289529,0,881496,12,979409,12,483743,0,890733,12,654168,0,706628,0,1068722,12,714792,0,1081331,12,1008966,13,995252,0,1053849,0,1080843,13,1116230,0,1419720,13,1366149,0,1914254,15,1844123,0,2048759,15,1773827,0,2078688,16,1877963,0,2089104,16,2473633,16,2461854,0
HI,101409,0,168865,4,147375,4,140003,0,135879,4,130112,0,147154,0,185050,4,192364,4,158625,0,179310,4,136822,0,205012,4,113943,0,205286,4,137845,0,231708,4,194191,0,325871,4,120566,0,306658,4,121015,0,266891,3,128847,0,366130,4,196864,0
ID,80826,0,199384,4,126549,0,204151,4,110192,0,290699,4,108510,0,297523,4,147272,0,253881,4,137013,0,202645,4,165443,0,256595,4,138637,0,336937,4,181098,0,409235,4,236440,0,403012,4,212787,0,420911,4,189765,0,409055,4,287021,0,554119,4
IL,1913472,0,2788179,26,2271295,0,2364269,26,1981413,0,2358049,26,2086499,0,2707103,24,2215940,0,2310939,24,2453350,22,1734096,0,2341744,22,1587021,0,2589026,22,2019421,0,2891550,21,2345946,0,3419348,21,2031179,0,3019512,20,2135216,0,3090729,20,2146015,0,3471915,20,2446891,0
IN,708568,0,1405154,13,1014714,0,1183958,13,844197,0,1255656,13,841481,0,1377230,12,860643,0,1297763,12,848420,0,989375,12,887424,0,1006693,12,901980,0,1245836,12,969011,0,1479438,11,1374039,11,1345648,0,1152887,0,1420543,11,1033126,0,1557286,11,1242416,0,1729519,11
IA,496206,0,706207,8,619931,0,632863,8,508672,0,676026,8,605620,0,703088,8,670557,8,545355,0,586353,7,504891,0,620258,7,492644,0,638517,7,634373,0,741898,0,751957,7,828940,7,682379,0,822544,6,730617,0,653669,0,800983,6,759061,0,897672,6
KS,270287,0,619812,7,430421,0,502752,7,326150,0,566812,7,333149,0,677296,7,422636,0,554049,7,390434,0,449951,6,387659,0,583245,6,399276,0,622332,6,434993,0,736456,6,514765,0,699655,6,440726,0,692634,6,427005,0,671018,6,570323,0,771406,6
KY,371159,0,676446,9,615717,9,531852,0,616417,0,635274,9,539589,0,822782,9,580368,0,734281,9,665104,8,617178,0,636614,8,623283,0,638898,0,872492,8,712733,0,1069439,8,751985,0,1048462,8,679370,0,1087190,8,628854,0,1202971,8,772474,0,1326646,8
LA,298142,0,686852,10,661365,10,587446,0,708453,0,792853,10,651586,0,1037299,10,734281,0,883702,10,815971,9,733386,0,927837,9,712586,0,792344,0,927871,9,820299,0,1102169,9,782989,0,1148275,9,809141,0,1152262,8,780154,0,1178638,8,856034,0,1255776,8
ME,160584,0,256458,4,232279,0,236320,4,220974,0,238522,4,214515,0,336500,4,243569,0,307131,4,263420,4,206504,0,312788,4,186378,0,319951,4,286616,0,396842,4,330201,0,421923,4,295273,0,401306,4,292276,0,357735,3,335593,1,435072,3,360737,1
MD,505781,0,829305,10,759612,10,672661,0,726161,10,680606,0,787935,0,879918,10,826304,0,876167,10,988571,10,707094,0,966207,10,681530,0,1145782,10,813797,0,1334493,10,1024703,0,1629467,10,959862,0,1677844,10,971869,0,1677928,10,943169,0,1985023,10,976414,0
MA,1332540,14,1112078,,1429475,14,1030276,0,1053802,0,1057631,14,1239606,0,1310936,13,1401406,13,1194644,0,1318662,12,805049,0,1571763,12,718107,0,1616487,12,878502,0,1803800,12,1071109,0,1904097,12,1108854,0,1921290,11,1188314,0,1995196,11,1090893,0,2382202,11,1167202,0
MI,1459435,0,1961721,21,1696714,0,1893742,21,1661532,0,1915225,21,1529638,0,2251571,20,1675783,0,1965486,20,1871182,18,1554940,0,1989653,18,1481212,0,2170418,18,1953139,0,2479183,17,2313746,0,2872579,17,2048639,0,2564569,16,2115256,0,2268839,0,2279543,16,2804040,16,2649852,0
